Company_Name,Career_Page
TCS,https://www.tcs.com/careers
Infosys,https://career.infosys.com
Wipro,https://careers.wipro.com/careers-home/
HCL Technologies,https://careers.hcltech.com
Tech Mahindra,https://careers.techmahindra.com
Cognizant,https://careers.cognizant.com
Capgemini,https://www.capgemini.com/in-en/careers
Accenture,https://www.accenture.com/in-en/careers
IBM India,https://careers.ibm.com/jobs?field_keyword_05=India
Mphasis,https://careers.mphasis.com
LTIMindtree,https://www.ltimindtree.com/careers
Persistent Systems,https://www.persistent.com/careers
Coforge,https://www.coforge.com/careers
Zensar Technologies,https://www.zensar.com/careers
Hexaware Technologies,https://hexaware.com/careers
Tata Elxsi,https://www.tataelxsi.com/career
Birlasoft,https://www.birlasoft.com/careers
Cyient,https://www.cyient.com/careers
KPIT Technologies,https://www.kpit.com/careers
Sonata Software,https://www.sonata-software.com/careers
Sasken Technologies,https://www.sasken.com/careers
Mastech Holdings,https://www.mastech.com/careers
Rolta India,https://www.rolta.com/careers
Bahwan CyberTek,https://www.bahwancybertek.com/careers
Altimetrik,https://www.altimetrik.com/careers
Nagarro,https://www.nagarro.com/en/careers
EPAM Systems India,https://www.epam.com/careers
Thoughtworks India,https://www.thoughtworks.com/careers
GlobalLogic,https://www.globallogic.com/careers
Publicis Sapient,https://careers.publicissapient.com
Infosys BPM,https://www.infosysbpm.com/careers
Firstsource Solutions,https://www.firstsource.com/careers
WNS Global Services,https://www.wns.com/careers
EXL Service,https://www.exlservice.com/careers
Genpact,https://www.genpact.com/careers
iEnergizer,https://www.ienergizer.com/careers
Concentrix,https://careers.concentrix.com
Hinduja Global Solutions,https://www.teamhgs.com/careers
Sutherland Global,https://www.sutherlandglobal.com/careers
Teleperformance India,https://jobs.teleperformance.com
24-7.ai,https://www.247.ai/careers
iGate,https://www.igate.com/careers
Patni Computer Systems,https://careers.patni.com
Mascon Global,https://www.masconglobal.com/careers
SunTec Business Solutions,https://www.suntecgroup.com/careers
ITC Infotech,https://www.itcinfotech.com/careers
Tata Consultancy Services BPS,https://nextstep.tcs.com
Minda Corporation IT,https://www.mindacorporation.com/careers
Kellton Tech,https://www.kelltontech.com/careers
NIIT Technologies,https://www.niit.com/careers
Amazon India,https://www.amazon.jobs
Microsoft India,https://careers.microsoft.com
Google India,https://careers.google.com
Apple India,https://jobs.apple.com
Meta India,https://www.metacareers.com
Adobe India,https://adobe.com/careers
Oracle India,https://oracle.com/careers
SAP Labs India,https://careers.sap.com
